# pmax       H2          H2O         CO2         CH4         NH3         N2          Rp          Mp          Tpoint001   Tpoint002   Tpoint003   Tpoint004   Tpoint005   Tpoint006   Ppoint002   Ppoint003   Ppoint004   Ppoint005           C/O         [Z]        Teff         MMW
  1.3258E+00 -5.8232E+00  2.2890E+00  2.5767E+00 -7.2514E+00 -3.9645E+00 -4.8861E+00  9.7789E-02  5.2956E-03  9.7722E-01  1.4319E+00  1.2159E+00  1.8454E+00  2.3894E+00  3.3221E+00 -8.5485E+00 -8.1563E+00 -7.1785E+00 -7.0072E-01  3.7963E-01  3.7310E+00  2.0162E+02  3.1211E+01
  7.9810E-01 -4.7790E+00  9.8287E-02  2.6304E-01 -7.2749E+00 -6.3414E+00 -7.3175E+00  1.0286E-01  1.7471E-03  2.6564E+00  1.0036E+00  2.0446E+00  1.9113E+00  2.3422E+00  3.4582E+00 -8.2114E+00 -7.1614E+00 -5.4947E+00 -1.1474E+00  3.9752E-01  3.5892E+00  1.9517E+02  3.4913E+01
 -2.5495E+00 -7.5280E+00  1.8126E+00  1.9361E+00 -5.5736E+00 -5.2721E+00  1.5794E+00  9.2866E-02  5.7541E-03  2.2378E+00  6.0964E-01  1.8400E+00  1.8703E+00  2.4279E+00  3.3302E+00 -6.8026E+00 -6.2193E+00 -5.9544E+00 -4.3284E-01  3.7254E-01  3.4866E+00  2.0470E+02  3.3207E+01
  2.5062E+00 -4.8915E+00  1.0827E+00  1.6267E+00 -4.4785E+00 -8.1675E+00 -4.8598E+00  1.0598E-01  4.0125E-03  2.3133E+00  1.5870E+00  1.9076E+00  2.0232E+00  2.3668E+00  3.0370E+00 -7.4689E+00 -7.2710E+00 -4.2404E+00 -8.0535E-01  3.6333E-01  3.5448E+00  1.9083E+02  3.1649E+01
 -2.1343E+00 -6.3763E+00  2.4852E+00  2.4163E+00 -7.2151E+00 -4.2093E+00  1.8211E+00  9.2896E-02  4.6275E-03  1.6275E+00  6.2563E-01  7.2663E-01  1.9182E+00  2.3399E+00  3.5282E+00 -7.5240E+00 -5.1410E+00 -5.1371E+00 -9.8273E-01  4.3750E-01  3.8162E+00  2.0373E+02  3.7957E+01
 -1.3093E+00  3.4081E-01  2.4051E+00  2.3568E+00 -4.3791E+00 -4.1036E+00 -3.2620E+00  9.2787E-02  4.5278E-03  9.8211E-01  1.1787E+00  1.2897E+00  2.0213E+00  2.3264E+00  3.6102E+00 -5.9399E+00 -5.7332E+00 -4.2743E+00 -1.1192E+00  3.1526E-01  3.3568E+00  2.0494E+02  2.9562E+01
 -2.3003E+00 -4.9599E+00  1.8939E-01  6.5700E-01 -4.0357E+00 -7.4106E+00 -2.8430E+00  1.0462E-01  4.0327E-03  2.5157E+00  1.8214E+00  2.1717E+00  1.9526E+00  2.1476E+00  2.9787E+00 -7.8853E+00 -7.3441E+00 -5.5392E+00 -2.8444E+00  3.2075E-01  3.3181E+00  1.9206E+02  2.9944E+01
  1.4589E+00 -3.1356E+00  2.8193E+00  2.9929E+00 -2.2224E+00 -4.3033E+00 -2.3515E+00  9.6426E-02  3.6789E-03  2.5757E+00  1.2484E+00  1.3984E+00  2.1197E+00  2.1694E+00  3.3448E+00 -7.6175E+00 -6.1034E+00 -5.7839E+00 -2.8756E+00  4.2723E-01  3.7470E+00  2.0009E+02  3.7131E+01
 -8.5976E-01 -6.3720E+00  1.2966E+00  1.7043E+00 -6.0140E+00 -7.6138E+00 -3.2825E+00  1.0042E-01  3.3709E-03  1.2019E+00  1.6886E+00  2.4653E+00  1.2910E+00  2.1492E+00  2.8580E+00 -8.4814E+00 -7.8591E+00 -6.1030E+00 -2.2242E+00  3.7446E-01  3.4938E+00  1.9642E+02  3.3333E+01
 -2.7571E+00 -8.8717E+00  7.7836E-01  1.1953E+00 -6.9444E+00 -6.9210E+00 -4.1435E+00  1.0021E-01  4.6521E-03  1.2971E+00  1.7293E+00  1.7741E+00  1.9474E+00  2.4475E+00  3.3948E+00 -6.4493E+00 -6.0271E+00 -5.0743E+00 -2.6662E-01  4.1821E-01  3.6935E+00  1.9771E+02  3.6436E+01
 -4.6666E-01 -7.6120E+00  1.2995E+00  1.5148E+00 -3.7101E+00 -7.7064E+00  1.3914E+00  9.3172E-02  4.0045E-03  5.5144E-01  2.1531E+00  2.4143E+00  1.7414E+00  2.3103E+00  3.0622E+00 -7.8492E+00 -6.4508E+00 -6.2427E+00 -1.2987E+00  4.1966E-01  3.7017E+00  2.0522E+02  3.6547E+01
 -1.0043E+00 -8.2442E-01  1.9280E+00  2.0458E+00 -5.0419E+00 -5.1665E+00 -3.1566E+00  9.3420E-02  4.8658E-03  8.2448E-01  1.7121E+00  6.0236E-01  2.0989E+00  2.2789E+00  3.4282E+00 -7.2784E+00 -5.3782E+00 -4.8295E+00 -1.5784E+00  3.8327E-01  3.6796E+00  2.0430E+02  3.1975E+01
  5.1497E-01 -1.1081E+00  1.7423E+00  1.7899E+00 -7.6058E+00 -4.8644E+00  1.3101E+00  9.5004E-02  4.2927E-03  7.0569E-01  1.9062E+00  1.2485E+00  2.1865E+00  2.1609E+00  3.4457E+00 -8.5959E+00 -6.3641E+00 -5.8938E+00 -2.9602E+00  3.6199E-01  3.4480E+00  2.0058E+02  3.2504E+01
  7.4402E-01 -6.0233E+00  2.2900E+00  2.4172E+00 -4.6627E+00 -4.7536E+00  2.2230E+00  9.3486E-02  5.8021E-03  1.5001E+00  1.9432E+00  2.0961E+00  2.1655E+00  2.4078E+00  3.5473E+00 -7.8580E+00 -6.5373E+00 -3.3654E+00 -5.1204E-01  3.4529E-01  3.4613E+00  2.0381E+02  3.0931E+01
