# pmax       H2          H2O         CO2         CH4         NH3         N2          Rp          Mp          Tpoint001   Tpoint002   Tpoint003   Tpoint004   Tpoint005   Tpoint006   Ppoint002   Ppoint003   Ppoint004   Ppoint005           C/O         [Z]        Teff         MMW
 -1.1338E+00 -7.4177E+00  2.4090E+00 -7.9125E+00 -7.7086E-01  1.0682E+00 -1.3976E+00  9.5903E-02  3.7416E-03  2.3329E+00  1.2245E+00  8.2718E-01  1.9965E+00  2.4801E+00  1.9862E+00 -7.3993E+00 -6.9388E+00 -6.1051E+00  8.0432E-01  7.1621E-03  2.7429E+00  2.1815E+02  1.7830E+01
  1.8376E+00 -8.6857E+00  1.1075E+00 -4.9256E+00 -1.7100E+00 -3.1340E-01 -9.0919E-01  9.3164E-02  3.5073E-03  1.9737E+00  1.8678E+00  7.8865E-01  1.8394E+00  2.4617E+00  1.0554E+00 -8.7016E+00 -6.3678E+00 -5.8560E+00 -4.4711E-01  6.6097E-04  2.7460E+00  2.2064E+02  1.7843E+01
 -3.5416E-02 -3.8529E+00  1.7370E-01 -3.5621E+00 -2.2403E+00 -1.2277E+00 -6.3755E+00  9.5235E-02  5.3396E-03  1.1431E+00  2.0357E+00  8.5646E-01  2.0051E+00  2.4608E+00  2.2538E+00 -7.9565E+00 -7.3423E+00 -5.8015E+00 -3.5359E-01  1.5234E-03  2.7550E+00  2.1764E+02  1.7938E+01
 -3.1636E+00 -3.7688E+00 -4.9241E-02 -3.2475E+00 -2.4053E+00 -1.1631E+00 -3.2356E+00  9.4649E-02  3.5406E-03  2.2287E+00  9.0225E-01  2.1458E+00  2.2865E+00  2.4667E+00  1.1456E+00 -6.5497E+00 -6.1392E+00 -4.4400E+00 -5.2988E-01  4.0373E-03  2.7459E+00  2.1859E+02  1.7844E+01
 -4.6954E-01  4.2520E-01  1.3111E+00 -7.4332E+00 -1.6553E+00 -3.4596E-02 -6.8839E+00  9.5266E-02  4.6117E-03  1.3785E+00  1.8130E+00  1.2554E+00  1.8510E+00  2.4662E+00  2.3197E+00 -8.1028E+00 -7.8789E+00 -6.9787E+00 -7.0732E-03  5.0320E-03  2.7398E+00  2.1852E+02  1.7826E+01
 -1.7605E-01 -7.6374E+00  1.5542E+00 -1.4014E+00 -1.3057E+00  3.3332E-01 -5.1854E+00  9.3001E-02  1.5938E-03  1.1024E+00  2.2100E+00  9.4474E-01  1.9450E+00  2.4773E+00  2.1123E+00 -7.7492E+00 -7.4888E+00 -6.6339E+00  2.8374E-01  1.0806E-03  2.6960E+00  2.2062E+02  1.6090E+01
  2.4499E+00  4.5231E-01  1.5285E+00 -1.2202E+00 -2.0888E+00  2.4025E-01 -8.5437E+00  9.6568E-02  4.5271E-03  1.5070E+00  1.5659E+00  1.1084E+00  2.3178E+00  2.4757E+00  5.7857E-01 -5.6238E+00 -4.4793E+00 -3.6341E+00  8.4170E-01  2.4833E-03  2.7442E+00  2.1708E+02  1.7854E+01
 -6.2410E-01 -3.0803E+00  7.7471E-01 -6.0169E+00 -1.6939E+00 -5.9736E-01 -1.5239E+00  9.5286E-02  2.2697E-03  1.8052E+00  2.7408E+00  7.1986E-01  2.0610E+00  2.4570E+00  1.4475E+00 -8.9662E+00 -7.3564E+00 -5.1661E+00 -1.0074E+00  2.0179E-03  2.7145E+00  2.1849E+02  1.6709E+01
 -7.1481E-01 -7.7767E+00  4.9265E-01 -4.5338E+00 -2.2487E+00 -9.2292E-01 -5.6678E+00  9.6049E-02  4.6682E-03  2.4927E+00  5.9845E-01  1.0569E+00  1.9399E+00  2.4558E+00  1.4626E+00 -7.6880E+00 -5.2622E+00 -5.0412E+00 -4.0148E-01  3.3997E-03  2.7495E+00  2.1726E+02  1.7885E+01
 -1.6637E+00 -4.1202E+00  2.2665E+00 -1.9154E+00 -1.4498E+00  3.5934E-01 -5.1480E+00  9.2013E-02  3.4868E-03  2.2915E+00  1.7914E+00  6.1374E-01  2.0828E+00  2.4577E+00  1.2949E+00 -7.9127E+00 -7.1031E+00 -4.3683E+00 -1.0396E+00  1.8234E-03  2.7468E+00  2.2102E+02  1.7846E+01
